latitude,longitude,placeholder
28.39917, 77.63122, Untitled Placemark
28.41161, 77.61973, Untitled Placemark
28.84382, 77.52594, Untitled Placemark
28.79069, 77.44600, Untitled Placemark
28.73343, 77.41175, Untitled Placemark
28.72894, 77.36339, Untitled Placemark
28.41474, 77.37421, Untitled Placemark
28.74958, 77.44957, Untitled Placemark
28.74778, 77.44931, Untitled Placemark
28.74244, 77.43407, Untitled Placemark
28.74882, 77.45028, Untitled Placemark
28.74249, 77.43614, Untitled Placemark
28.74675, 77.42934, Untitled Placemark
28.75081, 77.42064, Untitled Placemark
28.74667, 77.42090, Untitled Placemark
28.74653, 77.42568, Untitled Placemark
28.75001, 77.42129, Untitled Placemark
28.73951, 77.41600, Untitled Placemark
28.73765, 77.41252, Untitled Placemark
28.74370, 77.42401, Untitled Placemark
28.74259, 77.42369, Untitled Placemark
28.74146, 77.42522, Untitled Placemark
28.73936, 77.43041, Untitled Placemark
28.74060, 77.42167, Untitled Placemark
28.74211, 77.41694, Untitled Placemark
28.74106, 77.41439, Untitled Placemark
28.73764, 77.42017, Untitled Placemark
28.78750, 77.44819, Untitled Placemark
28.73728, 77.42078, Untitled Placemark
28.78392, 77.44720, Untitled Placemark
28.77233, 77.43690, Untitled Placemark
28.77186, 77.43951, Untitled Placemark
28.76969, 77.43967, Untitled Placemark
28.76681, 77.44125, Untitled Placemark
28.76551, 77.44194, Untitled Placemark
28.76569, 77.44486, Untitled Placemark
28.76496, 77.44448, Untitled Placemark
28.76294, 77.44779, Untitled Placemark
28.76120, 77.45100, Untitled Placemark
28.76061, 77.45381, Untitled Placemark
28.74948, 77.46560, Untitled Placemark
28.74387, 77.45633, Untitled Placemark
28.74555, 77.45435, Untitled Placemark
28.74291, 77.44693, Untitled Placemark
28.74438, 77.44619, Untitled Placemark
28.74481, 77.44522, Untitled Placemark
28.74643, 77.44008, Untitled Placemark
28.74727, 77.43701, Untitled Placemark
28.74707, 77.43547, Untitled Placemark
28.75472, 77.43379, Untitled Placemark
28.75405, 77.43590, Untitled Placemark
28.75348, 77.43815, Untitled Placemark
28.75531, 77.43825, Untitled Placemark
28.75605, 77.43923, Untitled Placemark
28.75571, 77.44504, Untitled Placemark
28.75240, 77.44399, Untitled Placemark
28.75531, 77.44807, Untitled Placemark
28.75114, 77.44756, Untitled Placemark
28.75262, 77.45002, Untitled Placemark
28.75695, 77.44863, Untitled Placemark
28.76043, 77.43927, Untitled Placemark
28.75803, 77.44086, Untitled Placemark
28.75857, 77.44143, Untitled Placemark
28.75831, 77.44263, Untitled Placemark
28.76125, 77.44308, Untitled Placemark
28.73644, 77.45653, Untitled Placemark
28.73592, 77.44096, Untitled Placemark
